,formula
834,"[ F _ { j } , F _ { k } ] = 0 , \quad \forall j , k \in { \bf Z } _ { + } ,"
835,H = - i \frac { \partial } { \partial t }
836,"L _ { x ^ { \lambda } } ( A ^ { \mu } ) = \{ A ^ { \mu } , x ^ { \lambda } \} ."
837,2 \mu B = \gamma ( 1 - | \phi | ^ { 2 } )
838,"\left. Z ( x , \xi , \, t ) \right| _ { x = \xi = t = 0 } = \Xi _ { 0 }"
839,"M _ { G U T } ^ { ( 2 ) } = M _ { p l } e ^ { - k ( 2 y _ { 1 } - \pi \rho ) } ~ . ~ \,"
840,"[ \lambda _ { 1 } , \lambda _ { 2 } , \ldots , \lambda _ { f } ]"
841,F \left( \phi \right) = \frac { 1 } { 2 } \phi ^ { A } F _ { A B } \phi ^ { B }
842,d s ^ { 2 } = A ( z ) \left( d t ^ { 2 } - d z ^ { 2 } - d x ^ { 2 } - d y ^ { 2 } \right)
843,P e ^ { i b \oint _ { \partial { \cal F } } A } = e ^ { i b \int _ { { \cal F } } F } .
844,"L \frac { \partial } { \partial L } f _ { 0 } ( W _ { 1 L } , \ldots , W _ { n L } , g ^ { 2 } )"
845,"( u , v , w ) \to ( u ^ { - 1 } , v ^ { - 1 } , w ^ { - 1 } ) ,"
846,"\int d \theta = 0 \qquad , \qquad \int \theta d \theta = 1"
847,Y _ { j i } \to f _ { j } ^ { - 1 } \circ Y _ { j i } \circ f _ { i }
848,"n ^ { a } = \varphi ^ { a } / | | \varphi | | \qquad { } a = 1 , 2 , \cdots , N"
849,"{ \cal P } _ { 2 k } ^ { + } ( \beta ) = 4 N _ { + } ^ { 2 } { \cal P } _ { n } ( \beta ) ,"
850,{ \cal H } _ { 2 } ^ { \prime } = \partial ^ { i } \pi _ { i } + m ^ { 2 } A ^ { 0 } = 0 .
851,\alpha = \pm q \sqrt { \frac { 2 } { D - 2 } } .
852,\mu ( \nu + \sigma ) \chi ^ { 2 } - ( \lambda \nu a ^ { 2 } + \mu \sigma b ^ { 2 } ) = 0 ~ .
853,\rho ^ { \mu } \nabla _ { \mu } T = O ( \chi ^ { 2 } ) T .
854,\delta S = 1 2 \pi N \delta Q
855,\operatorname* { l i m } _ { Q \rightarrow \infty } \Phi \left( Q \right) = 0
856,"Z = \int { \cal D } \gamma { \cal D } X e ^ { - i { \cal S } _ { \sigma } [ \gamma , X ] }"
857,"Z ( \beta , \mu ) = { \mathrm T r } \: e ^ { - \beta ( \hat { H } - \mu \hat { Q } ) } ."
858,"X ^ { i } - \hat { X } ^ { i } = - \frac { 1 } { P ^ { 0 } + m } \hat { S } ^ { 0 i } ,"
859,"\int { \cal D } \phi \, \, A [ \phi ] \, | \Psi _ { 0 } [ \phi ] | ^ { 2 }"
860,G _ { \mu \nu } = \partial _ { \mu } B _ { \nu } - \partial _ { \nu } B _ { \mu } .
861,\delta z ^ { i } = \epsilon ^ { \Lambda } k _ { \Lambda } ^ { i } ( z )
862,"| B H _ { \pm } = | k = \pm 1 , \quad | C R _ { \pm } = | k = \pm 1 / 2"
863,a _ { n } ( \lambda ) = \frac { n } { \lambda ^ { 2 } + \frac { n ^ { 2 } } { 4 } } .
864,"S _ { \mathrm { i n v } } \equiv S - { \frac { 1 } { 1 2 } } f _ { T T } \ ,"
865,M ( z ) = M _ { T } ^ { - 1 } ( M _ { 3 } ( M _ { T } ( z ) ) )
866,"l = \Big ( { \frac { 2 \hbar c } { e B } } \Big ) ^ { \frac { 1 } { 2 } } \, ,"
867,"\phi = \frac { 3 } { 4 } \operatorname { l o g } \left( U \cdot \Delta \right) ~ ,"
868,{ \cal L } = { \cal T } - { \cal V }
869,{ \cal E } = 2 \pi \left| \sum _ { k = 1 } ^ { K } L _ { k } \right| = 2 \pi | L | .
870,\rho \propto a ^ { - 3 ( 1 + w ) } ; \qquad a \propto t ^ { 2 / [ 3 ( 1 + w ) ] }
871,\frac { 1 } { 4 \pi } \int \sqrt { g } R ( g ) = 2 - 2 g = \chi ( \Sigma _ { g } ) .
872,"\Pi ( p , \xi ) _ { \xi \sim 0 } = \xi ^ { n } \operatorname { l n } ^ { m } ( \xi )"
873,- i \varepsilon \int d ^ { 4 } x \left( \frac { 1 } { 2 } A ^ { 2 } - \overline { { c } } c \right)
874,G _ { \mu \nu } ^ { ( a ) } \equiv e ^ { a \phi } g _ { \mu \nu }
875,\operatorname { t a n } \frac { \theta } { 2 } = \frac { \beta } { \alpha } \ .
876,( \mathrm { i d } \otimes \Delta ) \Delta = ( \Delta \otimes \mathrm { i d } ) \Delta
877,r ( \mu ) \; \equiv \; \frac { 1 } { 2 } \Big ( 1 + \mu - \sqrt { \mu ^ { 2 } - 1 } \Big ) \; .
878,"D X ^ { \mu } = \partial X ^ { \mu } + A ^ { ( 1 ) } k ^ { \mu } + A ^ { ( 2 ) } h ^ { \mu } \, ,"
879,{ { \pi } \o { n - 1 } } ( j _ { \varphi } - ( f _ { + } - f _ { - } ) { { n - 1 } \o { n + 1 } } )
880,"[ \hat { N } _ { i } ^ { \prime } , \hat { N } _ { j } ^ { \prime } ]"
881,H _ { ( n ) } = \mathrm { S U } ( \mathcal { N } ) \times H _ { ( n ) } ^ { \prime } ~ .
882,"P ^ { + } ( \eta _ { 0 } , 0 , u ) = P ^ { - } ( \eta _ { 0 } , 0 , u )"
883,R _ { a b } - \frac { 1 } { 2 } R g _ { a b } = - \Lambda g _ { a b }
884,E \sim E _ { 0 } + 2 E _ { 0 } \ e ^ { - 2 a \beta E _ { 0 } } \rightarrow E _ { 0 } \ .
885,"Y c _ { 1 } = c _ { 1 } Y + q ^ { 4 } I - q ^ { 2 } \lambda Y K ,"
886,"s \omega _ { 1 } = \partial _ { k } j ^ { k } ,"
887,\delta A _ { i } = D _ { i } [ A ] \Lambda
888,"[ L _ { S } ( m ) , L _ { S } ( n ) ] = ( m - n ) L _ { S } ( m + n )"
889,M _ { - \Lambda } = A M _ { \Lambda } A ^ { - 1 } .
890,"\Bigl ( a b \Bigl ) c - a \Bigl ( b c \Bigl ) = A s s ( a , b , c ) ."
891,{ \cal A } _ { \mu } \equiv g A _ { \mu } + j g ^ { \prime } A _ { \mu } ^ { \prime }
892,\omega _ { n } = ( 2 \sqrt { \pi } ) m \ c o s ( \frac { n \pi } { 8 } ) .
893,"\{ p _ { a } , x ^ { b } \} \ = \ - \delta _ { a } ^ { b }"
894,"\tilde { G } _ { \mu \nu } [ \xi | s ] = 0 ,"
895,"N _ { 2 } ( x , y , a , b ) = N _ { 2 1 } ( x , y , a ) + N _ { 2 2 } ( x , y , a , b ) ,"
896,I ^ { ( \gamma _ { i } ) } = \int _ { { \gamma } _ { k _ { i } } } W _ { k _ { i } } \; .
897,"{ \bf E } \, = \, - \frac { \partial \, { \bf A } } { \partial t } \, - \nabla \phi"
898,"| p _ { \mu } | < \delta , \ \ \ \ \ | k _ { \mu } | < \delta \ \ \ \ f o r \ \ \ a l l \ \ \ \mu"
899,z = \frac { 1 } { I _ { z } } \sum _ { p = 0 } ^ { 3 } I _ { p } u ^ { p }
900,\Omega _ { { D } } = \frac { 2 \; \pi ^ { { D } / 2 } } { \Gamma ( D / 2 ) } \; .
901,"h _ { i } ^ { 2 } = h ^ { 2 } \equiv \frac { 2 } { r } ,"
902,"\tau _ { N } ^ { + } = \mathrm { d e t } _ { i j } I _ { i - j } ( t _ { 1 } ^ { + } ) ,"
903,"f _ { B } ( Z _ { B } ) = \operatorname { e x p } ( Z _ { B } ) ,"
904,"S _ { \mathrm { T O T } } \equiv S _ { \mathrm { m a t t e r } } + \frac { 1 } { 4 } A \ ,"
905,"W ( \Phi , Q , \tilde { Q } ) = W ( \Phi ) + \Phi Q \tilde { Q } - Q m \tilde { Q } ,"
906,H = - \frac { 1 } { 2 m } D _ { - } D _ { + } + \frac { b } { 2 m }
907,"A _ { l } ^ { \pm } ( t ) \equiv \sum _ { j = 1 } ^ { \infty } t ^ { j } \; A _ { l , j } ^ { \pm }"
908,"\int d x \, f ( x , y , t ) = \int d x \, g ( x , y , t ) \, ."
909,"S \{ \phi \} = S _ { 0 } \{ \phi \} + S _ { \mathrm { i n t } } \{ \phi \} \; ,"
910,\lambda > \lambda _ { c } = \frac { \pi ^ { 3 / 2 } } { \Lambda }
911,F ( k ) = W ( k ) + i \pi \delta \left( k ^ { 2 } + M ^ { 2 } \right)
912,"x = x _ { 1 } - x _ { 2 } \ , \qquad p = { \frac { 1 } { 2 } } ( p _ { 1 } - p _ { 2 } ) ."
913,"K ( \Lambda _ { 1 } , \Lambda _ { 2 } ; 0 ) = \delta ( \Lambda _ { 1 } - \Lambda _ { 2 } ) ."
914,e ^ { - U } = l r + \frac { k q } { r } = l r + \frac { k } { ( d - 2 ) l r } .
915,"\omega = - i ( C _ { 1 } \pm \sqrt { C _ { 1 } ^ { 2 } - C _ { 2 } } ) \ ,"
916,"\omega = - i ( C _ { 1 } \pm \sqrt { C _ { 1 } ^ { 2 } - C _ { 2 } } ) \ ,"
917,"( 1 , 0 , * , * , \cdots , * ) \quad \mathrm { o r } \quad ( 0 , 1 , * , * , \cdots , * ) ,"
918,- \phi ^ { \prime \prime } + \frac { d V } { d \phi } = 0 .
919,"\left\{ ( 7 \ 1 1 \ 1 3 ) ( 1 3 \ 1 7 \ 1 9 ) ( 3 7 \ 4 1 \ 4 3 ) ( 6 7 \ 7 1 \ 7 3 ) \right\} ,"
920,G _ { 0 } \vert h ; g ^ { \pm } \rangle = g ^ { \pm } \vert h ; g ^ { \pm } \rangle { } ~ .
921,"\{ \psi _ { 0 } ^ { \mu } , \psi _ { 0 } ^ { \nu } \} = \eta ^ { \mu \nu } ."
922,"W _ { \mathrm { d } } = \sum _ { i = 1 } ^ { r } 2 \epsilon _ { i } \Lambda _ { 0 i } ^ { 3 } ,"
923,\frac { 1 } { 2 \pi i } \oint z ^ { n + 1 } Q ( z ) d z = L _ { n }
924,"\delta S ^ { 1 } | _ { \sigma = 0 , \pi } = \Omega \delta S ^ { 2 } | _ { \sigma = 0 , \pi } ."
925,"( X , Y , Z ) + ( Y , Z , X ) + ( Z , X , Y ) + ( Z , Y , X ) + ( Y , X , Z ) + ( X , Z , Y ) = 0"
926,"L ^ { \dagger } = L , \quad M ^ { \dagger } = - M ,"
927,"S _ { M } = e \int d \tau \dot { Z } ^ { \underline { M } } A _ { \underline { M } } ,"
928,\mathrm { R e } [ \Phi _ { m } ( t _ { + } ) ] = \mathrm { R e } [ \Phi _ { m } ( t _ { - } ) ] .
929,"\left\{ Q _ { A } , Q _ { B } \right\} = P \cdot \left( C \Gamma \right) _ { A B }"
930,"\kappa \dot { \lambda } = \lambda \dot { \kappa } ,"
931,"E _ { \mathrm { L o n d } } ( A , J ) \rightarrow E _ { O } ( A , J ) \; ,"
932,\mathbf { H } = - \frac { \partial L } { \partial \mathbf { B } } .
933,\frac { 1 } { 2 } ( B ( x + i \epsilon ) + B ( x - i \epsilon ) )
934,"M ^ { ( 1 ) } = - \frac { m } { 2 \pi } \, ."
935,"[ y _ { \alpha } , y _ { \beta } ] _ { \star } = 2 i C _ { \alpha \beta } \, ,"
936,"x ^ { \alpha } , \varepsilon _ { p } , p _ { \alpha } , \qquad \alpha = 1 , 2 , 3 ,"
937,k _ { \scriptscriptstyle B } T = { \frac { \hbar \kappa } { 2 \pi } } \ \ .
938,\delta _ { 1 } \delta _ { 5 } e _ { 7 } = ( e _ { 1 } ( e _ { 5 } e _ { 7 } ) ) = e _ { 3 } .
939,\zeta _ { \eta \xi } = \mathrm { I m } \tau \eta ^ { 2 } \overline { { \eta } } ^ { 2 }
940,"U ^ { I \mu \nu } = D ^ { \mu } R ^ { \nu } \psi - D ^ { \nu } R ^ { \mu } \psi ,"
941,"{ \cal H } = d B + \left[ A , B \right] + \left[ F , C \right] ,"
942,"R ^ { i } = Q ^ { i } - \frac { 1 } { B } \, \varepsilon _ { j } ^ { i } E ^ { j } \, t ."
943,\frac { 1 } { \kappa } = \frac { ( 2 \pi r _ { 2 } ) ^ { 2 } } { \kappa _ { 6 } }
944,"r _ { j } ( u ) \, r _ { j } ( u + 2 \lambda ) = r _ { j } ( u + \lambda ) ,"
945,\phi = \frac { \Delta ( z / 2 ) } { \Delta ( z ) }
946,\lambda ^ { 2 } = { 3 - 8 \delta ^ { 2 } + 8 \delta \gamma - 4 \gamma ^ { 2 } } .
947,"h _ { \mu \nu } = \triangle ^ { \alpha \beta } \, _ { \mu \nu } T _ { \alpha \beta } ."
948,"J _ { i } ( x ) = \int d ^ { 3 } y \, \Pi _ { i \nu } ( x , y ) \, { \cal A } ^ { \nu } ( y ) \; ,"
949,\lambda _ { j } ^ { 2 } ( d = 3 ) = k ^ { 2 } + \lambda _ { j } ^ { 2 } ( d = 2 ) .
950,\pi _ { P } \circ \varrho _ { V } = \pi _ { P _ { 0 } } \circ \varrho _ { V _ { 2 } } ^ { N } .
951,S _ { e f f } = S _ { 0 } - \int d ^ { 4 } x \; b ^ { \alpha } A _ { 3 } ^ { \alpha } + S _ { g h }
952,"{ \cal C } = { \cal G } / { \cal N } ,"
953,t = \operatorname { e x p } { \left( \frac { - x ^ { 6 } } { R } - i x ^ { 1 0 } \right) }
954,"f _ { 2 } \left( \theta , k \right) = f _ { 1 } \left( \theta , k \right) e ^ { i \theta }"
955,"z \mathrm { I } = w \mathrm { I } + \theta \mathrm { A , }"
956,{ \cal A } _ { \ast } ^ { \mu } \equiv g A ^ { \mu } - g ^ { \prime } A ^ { \mu } j .
957,"l ( r ) = \int _ { 0 } ^ { r } d r \ \sqrt { A ( r ) } \, ."
958,"D _ { \mu } ( \theta , \epsilon ) \Omega _ { \alpha \beta } ( \theta + \epsilon , \delta )"
959,\hat { \nabla } _ { m } \epsilon = 0 .
960,{ \cal T } = \left( g _ { 0 0 } \right) ^ { - 1 / 2 } { \cal T } _ { o }
961,"\alpha _ { \gamma 0 } = \frac { e _ { \gamma 0 } ^ { \ \ 2 } } { 4 \pi \hbar c } ,"
962,\langle N _ { n } \rangle \sim \frac { \delta _ { r m s } ^ { 2 } P ^ { 2 } } { n ^ { 2 } } .
963,"W ^ { \pm } = \frac { 1 } { 2 } \, ( \ast \phi ^ { \pm } ) \, d \phi \, ,"
964,\nabla ^ { 2 } \phi + \Lambda ^ { 2 } e ^ { 2 \phi } = 0
965,\langle T _ { \mu } ^ { \mu } \rangle = { \frac { N } { 2 4 } } R
966,"\delta \phi ^ { i } = Q _ { \alpha } ^ { i } \epsilon ^ { \alpha } \ ,"
967,e B ^ { * } = \frac { e ^ { 2 } | m | } { 4 \pi } .
968,"\Lambda : \Psi _ { K _ { Y } } ( Y , T ) \rightarrow \Psi _ { K _ { Y } } ( \Lambda Y , \Lambda T )"
969,"\theta p T \gg 1 , \qquad \mathrm { a n d } \qquad \theta p T \ll 1"
970,j _ { \mu } = \overline { \psi } \Gamma _ { \hat { \mu } } \psi
971,"( \nabla _ { i } \nabla ^ { i } + m ^ { 2 } + \zeta R ) \varphi ( x ) = 0 ,"
972,\zeta ( s _ { 0 } ) \rightarrow L ^ { 2 s _ { 0 } } \zeta ( s _ { 0 } )
973,"M \{ B , G \} = M \{ B _ { 1 } , G _ { 1 } \} \, ."
974,"\left[ H , Q \right] = \left[ H , Q ^ { \dagger } \right] = 0 ."
975,( k _ { 1 } - k _ { 2 } ) _ { \nu } T _ { \mu \nu } ^ { P V V } = 0 .
976,\tilde { J } _ { i j } ^ { + } ( 0 ) \left| \Phi \right\rangle = 0 .
977,f _ { k } ^ { ( m ) } ( \tau ) \simeq \frac { H } { \sqrt { 2 } k ^ { 3 / 2 } }
978,\triangle S = T ^ { - 1 } \triangle M .
979,( { \cal U } _ { \rho } \times { \bf C } ) / { \cal G } _ { \rho } .
980,"Q ( A \star B ) = ( Q A ) \star B ) + A \star ( Q B ) , ~ ~ A , B \in { \cal A } ;"
981,"( P _ { 0 } - E _ { 1 } - E _ { 2 } \, ) \, \psi \, = \, V \, \psi ."
982,N _ { S } = { \frac { B A } { \Phi _ { 0 } } } = { \frac { \Phi _ { m a g } } { \Phi _ { 0 } } }
983,"D _ { a } \phi = \partial _ { a } \phi + i g [ A _ { a } , \phi ] _ { \star } \; ."
984,"S = S _ { \mathrm { b u l k } } + S _ { \mathrm { s u r f } } ~ ,"
985,\zeta \eta \sim - 2 \partial ^ { 2 } \operatorname { l o g } \tau _ { l }
986,"d s ^ { 2 } = - d \tau ^ { 2 } + K ^ { 2 } ( \tau ) d \Omega _ { 3 , k }"
987,{ \cal L } ( \theta _ { 3 2 } ) = \lambda \theta _ { 3 2 } - \Phi _ { 2 }
988,"\alpha _ { G } ^ { 1 / 2 0 } \operatorname { l n } { \alpha _ { G } } = - \, 0 . 2 \, \pi F ,"
989,r = F ^ { 2 } / 2 + 2 F + ( 1 + F / 2 ) ( F ^ { 2 } + 4 F ) ^ { 1 / 2 } .
990,"\oint _ { C ^ { 2 } } { \mathbf d } { \, { } ^ { ( | | ) } { \mathbf B } } \equiv 0 \; ."
991,"s \alpha = \partial _ { \mu } j ^ { \mu } ,"
992,0 = \mathbf { D } ^ { \ast } \mathbf { D } \phi ^ { m }
993,"E _ { o p t } \simeq 0 . 4 2 1 4 9 + 0 . 0 0 0 9 0 \, \mathrm { i } \, ."
994,\operatorname { e x p } ( i p \alpha ) x \operatorname { e x p } ( - i p \alpha ) = x + \alpha .
995,"f ( \epsilon ) = \rho ~ { \frac { \gamma + d - 3 } { \gamma - d + 1 } } ~ ,"
996,"\phi \rightarrow \phi ^ { - 1 } , \hspace { 5 m m } N _ { \mu } \rightarrow - N _ { \mu } ,"
997,\eta = - \theta _ { 2 } { \frac { \tau _ { l - 1 } } { \tau _ { l } } }
998,"L _ { g f } ^ { ( 0 ) } \; = \; s \, \Psi \; \to \; L _ { g f } = ( s + \sigma ) \, \Psi \; ."
999,"Z _ { \; \; a _ { 1 } } ^ { a _ { 0 } } G _ { a _ { 0 } } ^ { ( 2 ) } = 0 ,"
1000,"X \, = \, E F + \frac { q K ^ { - 1 } + q ^ { - 1 } K } { q - q ^ { - 1 } } \; ."
1001,"C _ { \infty } = 0 . 0 2 2 1 ( 1 3 ) , \qquad B = 0 . 0 5 5 ( 1 9 ) ,"
1002,\widehat { X } ^ { i } = \hat { x } ^ { i } + \frac { i } { e B } \hat { \pi } ^ { i } .
1003,\Phi \bullet \Phi = \sum | \phi ^ { C } | ^ { 2 } \geq 0
1004,"\rho _ { 3 } \equiv 3 \alpha + { \frac { 9 } { 1 0 } } \rho _ { 1 } = \rho _ { 1 } \, ."
1005,y _ { 0 } ^ { \mu } ( \sigma ) = \theta ^ { \mu \nu } p _ { 0 \nu } \frac { \sigma } { 2 \pi } ~ .
1006,\sigma _ { d } \left( M \right) = T ^ { b } S ^ { - 1 } T ^ { - c } \sigma _ { d } \left( S \right)
1007,2 \pi \tau _ { 2 } =
1008,"\delta x ^ { \alpha } = - \epsilon ^ { \alpha } \, ,"
1009,S = \beta \sum _ { a b } L _ { a b } ^ { 2 } ( L _ { a b } - 2 ) ^ { 2 }
1010,"\rho ( z , x ) = \sum _ { \xi \in \mathcal { O } ( z , x ) } \frac { \kappa _ { \xi } } { \lambda }"
1011,M _ { \mathrm { t o t } } = \sqrt { M _ { F S } ^ { 2 } + M _ { D 5 } ^ { 2 } } .
1012,"q _ { \alpha } ^ { i } \Phi = 0 \; , \quad 1 \leq i \leq p \; ."
1013,"j ( T ) \stackrel { d e f } { = } 1 7 2 8 J ( T ) ,"
1014,\varphi ( 0 ) = \varphi ( T ) = \dot { \varphi } ( 0 ) = \dot { \varphi } ( T ) = 0
1015,"\{ \gamma _ { \mu } , \gamma _ { \nu } \} = - 2 \eta _ { \mu \nu } ."
1016,\nabla _ { h } ^ { 2 } \Phi = 4 \pi G _ { 0 } \rho
1017,\partial ^ { \mu } \partial ^ { \nu \: * \! } F _ { \mu \nu }
1018,"J _ { 0 } = - \sqrt { 2 } \Gamma \kappa _ { 5 } \dot { \phi } ^ { 3 } \, ,"
1019,\varepsilon _ { L } = \frac { N } { l _ { s } ^ { 2 } u _ { 0 } ^ { 2 } } \ .
1020,"{ \cal R } ( \Lambda , p ) = L ^ { - 1 } ( \Lambda p ) \Lambda L ( p ) \, ."
1021,L = u e ^ { i \gamma P } u ^ { - 1 } = L _ { + } L _ { - } ^ { - 1 } .
1022,\partial _ { \mu } \left( \gamma ^ { 5 } - \alpha \right) \Psi ( x ) = 0 \; .
1023,"H ^ { p } ( d , { \cal A } ) \simeq H _ { D R } ^ { p } ( G ) , \ \ \ \ p < n ."
1024,"{ \cal F } = { \cal H } = - \frac { 1 } { L } , \, \, \, \sigma ( \rho ) = q ~ \gamma ( \rho ) ,"
1025,"\rho ( \omega ) = \Gamma _ { 1 } \Gamma _ { 2 } \cdots \Gamma _ { 8 } \equiv \Gamma _ { 9 } ,"
1026,"a * ^ { \prime } b = \pi ( a * b ) , \quad \forall a , b \in C ^ { \infty } ( M ) [ [ \hbar ] ] ,"
1027,"\frac { d ^ { 2 } Z _ { i } } { d \tau ^ { 2 } } + R _ { 0 i 0 j } Z _ { j } = 0 ,"
1028,\beta _ { \lambda } = 2 v _ { d } ( N - 1 ) \lambda ^ { 2 } l _ { 2 } ^ { d } .
1029,"F \rightarrow \Gamma F , \ \ \ \ F ^ { \dagger } \rightarrow F ^ { \dagger } \Gamma"
1030,"D _ { a } = D _ { a } ^ { ( 0 ) } - \sum _ { b } g _ { a b } ( N _ { b } - \delta _ { a b } ) \; ,"
1031,\widehat { \mathbf { Q } } _ { \mu \nu } \star Z ^ { \mu \nu } = 0 .
1032,H _ { 0 } = 1 6 k ^ { 2 } + 8 0 k + 6 4 = 1 6 ( k + 4 ) ( k + 1 ) .
1033,"y ^ { A } y ^ { B } \eta _ { A B } = - 1 , \qquad y ^ { - 1 } > 0 ,"
1034,"\dot { q } ^ { n } = \{ q ^ { n } , q ^ { m } \} \frac { \partial H } { \partial q ^ { m } } \ ."
1035,"\: z ^ { + } \sim x _ { H } - \xi \, e ^ { - \, \kappa z ^ { - } } \, , \:"
1036,X ^ { \mu } \rightarrow X ^ { \mu } + \delta X ^ { \mu } .
1037,U ( R ) = { \frac { 4 \sqrt { 2 } m ^ { 3 } } { \lambda } } e ^ { - 2 \sqrt { 2 } m R }
1038,"\tilde { H } = \int _ { - \infty } ^ { 0 } h ( x , t ) d x + H _ { B } ( x = 0 , t )"
1039,"\int \, d y \, \prod _ { i = 1 } ^ { n } \, ( ( y - x _ { i } ) ^ { 2 } ) ^ { - \mu _ { i } }"
1040,"A ( q , p ) = 4 \pi ( M _ { A D M } ^ { 2 } ) _ { { \frac { \partial M } { \partial \phi } } = 0 }"
1041,a = \frac { \sqrt { 2 n N ( 1 - N ) } } { n N } .
1042,"\sum _ { j = 1 } ^ { n + 1 } x _ { j } \partial _ { j } f _ { n } = - n f _ { n } ,"
1043,"\Phi ( \beta , R , x , L ) = \chi ( \beta , R , x R , L )"
1044,"E = - \frac { a ^ { 3 } } { \sqrt { a ^ { 2 } + \varphi _ { \sigma } ^ { 2 } } } \, ."
1045,"\frac { 1 } { 2 } \mathcal { D } _ { \alpha } S \mathcal { D } ^ { \alpha } \overline { { S } } ,"
1046,\delta _ { \mathcal { Q } } S = ( \overline { { \epsilon } } \mathcal { Q } ) S .
1047,"{ \cal D } _ { \alpha } ^ { + } G ^ { + \alpha } ( x , \theta ^ { \pm } ) = 0 \, ,"
1048,< O _ { n } \left( x \right) > ~ = ~ C _ { n } \cdot { L ^ { - 2 \Delta _ { n } } }
1049,w = \operatorname { t a n } \frac { \varphi } { 2 } \operatorname { e x p } ( i \alpha )
1050,\delta \theta _ { 0 } = g L = \frac { R _ { S c h w } } { R ^ { 2 } } L
1051,F _ { S U ( N ) } = F _ { B H O T \tilde { T } 2 } = F _ { B O 2 } = F _ { U ( N ) ^ { Q = 0 } } .
1052,"[ { \bf 1 } _ { 1 / 2 } \oplus { \bf 2 } _ { 0 } \oplus { \bf 1 } _ { - 1 / 2 } ] ,"
1053,\hat { g } _ { \hat { 1 1 } \hat { 1 1 } } = \phi ^ { 2 } .
1054,M ( g ) \simeq \oplus _ { \chi _ { g } } M _ { \chi _ { g } } \otimes V _ { \chi _ { g } }
1055,V ( r \ll \Gamma _ { 0 } ^ { - 1 } ) = - \frac { G _ { N } } { r }
1056,1 \leq I \leq p - 1 \quad \mathrm { a n d } \quad N - q + 1 \leq I \leq N - 1 \; .
1057,| z _ { 1 } | ^ { 2 } = | z _ { 2 } | ^ { 2 } = | z _ { 3 } | ^ { 2 } = \frac { 1 } { 3 } .
1058,"C _ { i j } ^ { k } ( x , \lambda ) ="
1059,"[ { \cal M } ( M ) , { \cal M } ( N ) ] = { \cal M } ( [ M , N ] )"
1060,\eta ^ { 1 } \equiv A _ { 0 } ; ~ ~ ~ \eta ^ { 2 } \equiv \partial _ { i } A _ { i } .
1061,"T _ { , u } T _ { , v } = \alpha e ^ { 2 \phi } \rho _ { , u v }"
1062,"\tilde { W } _ { E } ( \beta , J ) = W _ { E } ( \beta , - i J ) ~ ~ ~ ."
1063,\delta \psi _ { \mu \alpha } = \partial _ { \mu } \chi
1064,t = \frac { \Phi _ { 1 } } { \Phi _ { 0 } } .
1065,"\left| V \right| \simeq \frac 1 { b \cdot \operatorname* { m i n } ( a , \tau ) }"
1066,a _ { D } \equiv \frac { \partial { \cal F } } { \partial a } .
1067,R \vert V _ { N } \rangle = ( - 1 ) ^ { N } \vert V _ { - N } \rangle \; .
1068,"\delta \hat { F } _ { \mu \nu } = i g [ \hat { \Lambda } , \hat { F } _ { \mu \nu } ] _ { * } ."
1069,M _ { B } \sim M \frac { a ^ { 2 } } { \rho _ { K } \alpha ^ { \prime } }
1070,F ( X ) = X + \alpha X f \left( { \frac { X } { M ^ { 4 } } } \right)
1071,M _ { n } = \sqrt { m ^ { 2 } + { \mathcal { B } } ( 2 n + 1 ) } \hspace { 0 . 2 c m } .
1072,"( \phi , g _ { \mu \nu } , B _ { \mu \nu } ) \ ,"
1073,"\Lambda = \pm 8 , M = \pm 1 , \phi _ { 0 } = 0 , \epsilon = { \overline { \epsilon } } = 0 ."
1074,S _ { C F T } = \frac { 2 \pi ^ { 2 } N ^ { 2 } T ^ { 3 } V ^ { ( 3 ) } } { 3 } .
1075,\lambda ^ { A } = \phi ^ { A } + \varphi ^ { A }
1076,"[ S _ { 0 } , \Delta ] = i \hbar \Delta , \quad [ S _ { 0 } , S _ { k } ] = - i \hbar k S _ { k } ."
1077,\phi _ { \mathrm { ( a n t i w a l l ) } } ( y
1078,"{ ( h , g ) } ^ { - 1 } = ( \alpha ( g ^ { - 1 } ) [ h ^ { - 1 } ] , g ^ { - 1 } ) ."
1079,S U ( n ) _ { k + m } \times S U ( m ) _ { k + n } \times U ( 1 )
1080,\Gamma ( s ) = \int _ { 0 } ^ { \infty } t ^ { s - 1 } e ^ { - t } d t .
1081,"\omega = \sum _ { j = 1 } ^ { k } d \alpha ^ { j } \wedge d \xi ^ { j } ,"
1082,P = T ^ { \frac { 1 } { 2 } } \ S \ T ^ { 2 } \ S \ T ^ { \frac { 1 } { 2 } }
1083,d s ^ { 2 } = e ^ { \varphi ( z ) } \left| d z \right| ^ { 2 }
1084,R _ { a b } { } ^ { c d } = - \delta _ { [ a } { } ^ { c } \delta _ { b ] } { } ^ { d }
1085,"\hat { \Omega } \rightarrow e ^ { i \hat { C } } ~ \hat { \Omega } ~ e ^ { - i \hat { C } } ,"
1086,"h ( z ) = z ^ { 4 } \psi _ { \mu } ( z / a ) f _ { \lambda l } ^ { ( q ) } ( z , z x ) ,"
1087,\omega _ { B D } ^ { ( \pm ) } = { \frac { 3 } { 2 } } ( e ^ { \pm 2 d / l } - 1 ) .
1088,\Omega \: \Phi = ( D ^ { * } \nabla ) ^ { - 1 } \rho \: \Phi \; .
